15;Baleful Eidolon;The good commons and uncommon/rares of similar quality
16;Labyrinth Champion;The good commons and uncommon/rares of similar quality
17;Anthousa, Setessan Hero;The good commons and uncommon/rares of similar quality
18;Pharika's Cure;The good commons and uncommon/rares of similar quality
19;Rage of Purphoros;The good commons and uncommon/rares of similar quality
20;Wavecrash Triton;The good commons and uncommon/rares of similar quality
21;Sip of Hemlock;The good commons and uncommon/rares of similar quality
22;Nylea, God of the Hunt;The good commons and uncommon/rares of similar quality
23;Ordeal of Thassa;The good commons and uncommon/rares of similar quality
24;Cavern Lampad;The good commons and uncommon/rares of similar quality
25;Arena Athlete;The good commons and uncommon/rares of similar quality
26;Triton Fortune Hunter;The good commons and uncommon/rares of similar quality
27;Reverent Hunter;The good commons and uncommon/rares of similar quality
28;Sealock Monster;The good commons and uncommon/rares of similar quality
29;Sedge Scorpion;The good commons and uncommon/rares of similar quality
30;Spearpoint Oread;The good commons and uncommon/rares of similar quality
31;Nylea's Disciple;The good commons and uncommon/rares of similar quality
32;Karametra's Acolyte;The good commons and uncommon/rares of similar quality
33;Feral Invocation;The good commons and uncommon/rares of similar quality
34;Erebos, God of the Dead;The good commons and uncommon/rares of similar quality
35;Two-Headed Cerberus;The good commons and uncommon/rares of similar quality
36;Blood-Toll Harpy;The good commons and uncommon/rares of similar quality
37;Read the Bones;The good commons and uncommon/rares of similar quality
38;Borderland Minotaur;The good commons and uncommon/rares of similar quality
39;Ordeal of Erebos;The good commons and uncommon/rares of similar quality
40;Ordeal of Heliod;The good commons and uncommon/rares of similar quality
41;Ordeal of Nylea;The good commons and uncommon/rares of similar quality
42;Stoneshock Giant;The good commons and uncommon/rares of similar quality
43;Thoughtseize;The good commons and uncommon/rares of similar quality
44;Staunch-Hearted Warrior;The good commons and uncommon/rares of similar quality
45;Centaur Battlemaster;The good commons and uncommon/rares of similar quality
46;Omenspeaker;The good commons and uncommon/rares of similar quality
47;Meletis Charlatan;The good commons and uncommon/rares of similar quality
48;Evangel of Heliod;The good commons and uncommon/rares of similar quality
49;Soldier of the Pantheon;The good commons and uncommon/rares of similar quality
50;Tormented Hero;The good commons and uncommon/rares of similar quality
51;Flamespeaker Adept;The good commons and uncommon/rares of similar quality
52;Disciple of Phenax;The good commons and uncommon/rares of similar quality
1;Chosen by Heliod;A batch of combat tricks and enchantments that you don't want too many of
2;Dragon Mantle;A batch of combat tricks and enchantments that you don't want too many of
3;Titan's Strength;A batch of combat tricks and enchantments that you don't want too many of
4;Battlewise Valor;A batch of combat tricks and enchantments that you don't want too many of
5;Savage Surge;A batch of combat tricks and enchantments that you don't want too many of
6;Boon of Erebos;A batch of combat tricks and enchantments that you don't want too many of
7;Aqueous Form;A batch of combat tricks and enchantments that you don't want too many of
8;Warriors' Lesson;A batch of combat tricks and enchantments that you don't want too many of
9;Fate Foretold;A batch of combat tricks and enchantments that you don't want too many of
10;Scourgemark;A batch of combat tricks and enchantments that you don't want too many of
1;Dissolve;Playable creatures and spells
2;Artisan's Sorrow;Playable creatures and spells
3;Lagonna-Band Elder;Playable creatures and spells
4;Minotaur Skullcleaver;Playable creatures and spells
5;Felhide Minotaur;Playable creatures and spells
6;Titan of Eternal Fire;Playable creatures and spells
7;Pheres-Band Centaurs;Playable creatures and spells
8;Vulpine Goliath;Playable creatures and spells
9;Nylea's Presence;Playable creatures and spells
10;Ray of Dissolution;Playable creatures and spells
11;Leonin Snarecaster;Playable creatures and spells
12;Stymied Hopes;Playable creatures and spells
13;Favored Hoplite;Playable creatures and spells
14;Traveling Philosopher;Playable creatures and spells
15;Returned Centaur;Playable creatures and spells
16;Commune with the Gods;Playable creatures and spells
17;Cavalry Pegasus;Playable creatures and spells
1;Silent Artisan;Cards I usually leave in the sideboard
2;Firedrinker Satyr;Cards I usually leave in the sideboard
3;Vanquish the Foul;Cards I usually leave in the sideboard
4;Setessan Battle Priest;Cards I usually leave in the sideboard
5;Satyr Rambler;Cards I usually leave in the sideboard
6;Fleshmad Steed;Cards I usually leave in the sideboard
7;Wild Celebrants;Cards I usually leave in the sideboard
8;Ephara's Warden;Cards I usually leave in the sideboard
9;Decorated Griffin;Cards I usually leave in the sideboard
10;Breaching Hippocamp;Cards I usually leave in the sideboard
11;Thassa's Bounty;Cards I usually leave in the sideboard
12;Akroan Crusader;Cards I usually leave in the sideboard
13;Annul;Cards I usually leave in the sideboard
14;Portent of Betrayal;Cards I usually leave in the sideboard
15;Last Breath;Cards I usually leave in the sideboard
16;Fade into Antiquity;Cards I usually leave in the sideboard
17;Shredding Winds;Cards I usually leave in the sideboard
18;Hunt the Hunter;Cards I usually leave in the sideboard
19;Satyr Piper;Cards I usually leave in the sideboard
20;Benthic Giant;Cards I usually leave in the sideboard
21;Dark Betrayal;Cards I usually leave in the sideboard
22;Cutthroat Maneuver;Cards I usually leave in the sideboard
23;Glare of Heresy;Cards I usually leave in the sideboard
24;Mnemonic Wall;Cards I usually leave in the sideboard
25;Spark Jolt;Cards I usually leave in the sideboard
26;Viper's Kiss;Cards I usually leave in the sideboard
27;March of the Returned;Cards I usually leave in the sideboard
28;Boulderfall;Cards I usually leave in the sideboard
29;Gift of Immortality;Cards I usually leave in the sideboard
30;Rescue from the Underworld;Cards I usually leave in the sideboard
31;Asphodel Wanderer;Cards I usually leave in the sideboard
32;Gainsay;Cards I usually leave in the sideboard
33;Yoked Ox;Cards I usually leave in the sideboard
34;Triton Shorethief;Cards I usually leave in the sideboard
35;Peak Eruption;Cards I usually leave in the sideboard
36;Lost in a Labyrinth;Cards I usually leave in the sideboard
37;Messenger's Speed;Cards I usually leave in the sideboard
38;Defend the Hearth;Cards I usually leave in the sideboard
39;Demolish;Cards I usually leave in the sideboard
40;Swan Song;Cards I usually leave in the sideboard
1;Polis Crusher;First-pickable multicolored cards that I take over all top commons
2;Anax and Cymede;First-pickable multicolored cards that I take over all top commons
3;Reaper of the Wilds;First-pickable multicolored cards that I take over all top commons
4;Medomai the Ageless;First-pickable multicolored cards that I take over all top commons
5;Prophet of Kruphix;First-pickable multicolored cards that I take over all top commons
6;Fleecemane Lion;First-pickable multicolored cards that I take over all top commons
7;Daxos of Meletis;First-pickable multicolored cards that I take over all top commons
8;Underworld Cerberus;First-pickable multicolored cards that I take over all top commons
9;Ashiok, Nightmare Weaver;First-pickable multicolored cards that I take over all top commons
10;Xenagos, the Reveler;First-pickable multicolored cards that I take over all top commons
1;Chained to the Rocks;Solid multicolored cards that I take below the top commons, but over the good commons
2;Shipwreck Singer;Solid multicolored cards that I take below the top commons, but over the good commons
3;Triad of Fates;Solid multicolored cards that I take below the top commons, but over the good commons
4;Battlewise Hoplite;Solid multicolored cards that I take below the top commons, but over the good commons
5;Chronicler of Heroes;Solid multicolored cards that I take below the top commons, but over the good commons
6;Sentry of the Underworld;Solid multicolored cards that I take below the top commons, but over the good commons
7;Horizon Chimera;Solid multicolored cards that I take below the top commons, but over the good commons
1;Tymaret, the Murder King;Decent multi-colored cards that I take below the good commons
2;Pharika's Mender;Decent multi-colored cards that I take below the good commons
3;Scholar of Athreos;Decent multi-colored cards that I take below the good commons
4;Returned Phalanx;Decent multi-colored cards that I take below the good commons
5;Kragma Warcaller;Decent multi-colored cards that I take below the good commons
6;Temple of Silence;Decent multi-colored cards that I take below the good commons
7;Temple of Mystery;Decent multi-colored cards that I take below the good commons
8;Temple of Abandon;Decent multi-colored cards that I take below the good commons
9;Temple of Deceit;Decent multi-colored cards that I take below the good commons
10;Temple of Triumph;Decent multi-colored cards that I take below the good commons
11;Deathbellow Raider;Decent multi-colored cards that I take below the good commons
12;Akroan Hoplite;Decent multi-colored cards that I take below the good commons
13;Coastline Chimera;Decent multi-colored cards that I take below the good commons
14;Crackling Triton;Decent multi-colored cards that I take below the good commons
15;Agent of Horizons;Decent multi-colored cards that I take below the good commons
16;Setessan Griffin;Decent multi-colored cards that I take below the good commons
17;Akroan Horse;Decent multi-colored cards that I take below the good commons
18;Opaline Unicorn;Decent multi-colored cards that I take below the good commons
19;Burnished Hart;Decent multi-colored cards that I take below the good commons
20;Destructive Revelry;Decent multi-colored cards that I take below the good commons
21;Steam Augury;Decent multi-colored cards that I take below the good commons
22;Psychic Intrusion;Decent multi-colored cards that I take below the good commons
23;Satyr Hedonist;Decent multi-colored cards that I take below the good commons
24;Spellheart Chimera;Decent multi-colored cards that I take below the good commons
25;Traveler's Amulet;Decent multi-colored cards that I take below the good commons
26;Unknown Shores;Decent multi-colored cards that I take below the good commons
27;Priest of Iroas;Decent multi-colored cards that I take below the good commons
28;Anvilwrought Raptor;Decent multi-colored cards that I take below the good commons
29;Bronze Sable;Decent multi-colored cards that I take below the good commons
30;Guardians of Meletis;Decent multi-colored cards that I take below the good commons
31;Flamecast Wheel;Decent multi-colored cards that I take below the good commons
32;Ashen Rider;Decent multi-colored cards that I take below the good commons
33;Colossus of Akros;Decent multi-colored cards that I take below the good commons
34;Prowler's Helm;Decent multi-colored cards that I take below the good commons
35;Fleetfeather Sandals;Decent multi-colored cards that I take below the good commons
36;Loathsome Catoblepas;Decent multi-colored cards that I take below the good commons
37;Nykthos, Shrine to Nyx;Decent multi-colored cards that I take below the good commons
38;Witches' Eye;Decent multi-colored cards that I take below the good commons
39;Pyxis of Pandemonium;Decent multi-colored cards that I take below the good commons
